model_id,model,layer,kv_type,context_length,actual_tokens,n_layers,n_kv_heads,head_dim,key_norm_mean,key_norm_std,key_abs_mean,key_abs_max,risk_score,rank
llama32,Llama-3.2-3B-Instruct,0,key,2048,2060,28,8,128,17.62958145,5.14095879,1.14029694,19.453125,7.16273479,1
llama32,Llama-3.2-3B-Instruct,25,key,2048,2060,28,8,128,21.71850014,3.56831574,1.24471605,23.484375,5.8989568,2
llama32,Llama-3.2-3B-Instruct,14,key,2048,2060,28,8,128,22.30064583,2.98870254,1.40512276,18.734375,5.50885758,3
llama32,Llama-3.2-3B-Instruct,9,key,2048,2060,28,8,128,21.63264275,2.77984095,1.31600153,21.015625,5.17747462,4
llama32,Llama-3.2-3B-Instruct,13,key,2048,2060,28,8,128,22.82494736,2.40214396,1.36345077,18.5,4.90684209,5
llama32,Llama-3.2-3B-Instruct,10,key,2048,2060,28,8,128,20.92435265,2.54624891,1.28424132,16.625,4.87670786,6
llama32,Llama-3.2-3B-Instruct,19,key,2048,2060,28,8,128,21.8995285,2.4141109,1.33532012,18.328125,4.84440744,7
llama32,Llama-3.2-3B-Instruct,7,key,2048,2060,28,8,128,22.70007515,2.34416056,1.35133839,17.6875,4.8305027,8
llama32,Llama-3.2-3B-Instruct,12,key,2048,2060,28,8,128,22.45404625,2.25162339,1.38475263,14.9765625,4.75907834,9
llama32,Llama-3.2-3B-Instruct,15,key,2048,2060,28,8,128,21.30304909,2.31756568,1.31973886,15.6953125,4.702457,10
llama32,Llama-3.2-3B-Instruct,17,key,2048,2060,28,8,128,21.31003571,2.29178786,1.31938553,16.953125,4.67667518,11
llama32,Llama-3.2-3B-Instruct,5,key,2048,2060,28,8,128,20.80928993,2.27514791,1.26965165,15.5390625,4.58526406,12
llama32,Llama-3.2-3B-Instruct,27,key,2048,2060,28,8,128,21.95325279,2.14051008,1.33124721,17.828125,4.56941993,13
llama32,Llama-3.2-3B-Instruct,3,key,2048,2060,28,8,128,20.99602699,2.29906034,1.21433997,18.5,4.56320167,14
llama32,Llama-3.2-3B-Instruct,11,key,2048,2060,28,8,128,22.75170326,2.07024741,1.31200576,17.859375,4.51983833,15
llama32,Llama-3.2-3B-Instruct,8,key,2048,2060,28,8,128,22.69172096,1.99132109,1.35887694,18.328125,4.48478408,16
llama32,Llama-3.2-3B-Instruct,16,key,2048,2060,28,8,128,21.77913284,2.02916121,1.35272098,17.625,4.47083883,17
llama32,Llama-3.2-3B-Instruct,22,key,2048,2060,28,8,128,20.69512939,2.2062788,1.1909585,16.859375,4.43199377,18
llama32,Llama-3.2-3B-Instruct,23,key,2048,2060,28,8,128,21.67165565,2.00090289,1.32818103,16.890625,4.4126667,19
llama32,Llama-3.2-3B-Instruct,4,key,2048,2060,28,8,128,20.92627335,2.07528329,1.24137008,15.1015625,4.36296704,20
llama32,Llama-3.2-3B-Instruct,6,key,2048,2060,28,8,128,21.77516747,1.94450366,1.31674516,15.765625,4.3500072,21
llama32,Llama-3.2-3B-Instruct,20,key,2048,2060,28,8,128,21.1760006,1.99979794,1.28416097,15.5078125,4.34275894,22
llama32,Llama-3.2-3B-Instruct,26,key,2048,2060,28,8,128,20.89036179,1.9694823,1.3112675,15.4453125,4.32526789,23
llama32,Llama-3.2-3B-Instruct,24,key,2048,2060,28,8,128,21.30534744,1.95420563,1.27664709,18.171875,4.2961201,24
llama32,Llama-3.2-3B-Instruct,18,key,2048,2060,28,8,128,21.67084312,1.85675955,1.34466362,14.3984375,4.28496532,25
llama32,Llama-3.2-3B-Instruct,1,key,2048,2060,28,8,128,21.04491425,1.82312846,1.38582349,12.4609375,4.26119766,26
llama32,Llama-3.2-3B-Instruct,2,key,2048,2060,28,8,128,20.26666069,1.75081897,1.24422908,14.1875,4.00838108,27
llama32,Llama-3.2-3B-Instruct,21,key,2048,2060,28,8,128,20.84332275,1.69968224,1.22667694,17.421875,3.96852531,28
